ticket_id,title,status,priority,assigned_to_employee_id,created_at,closed_at
49,Request: Audit trail for user workflow [Internal],Open,Low,16,2023-12-24,
50,Batch job causing error [Internal],Resolved,High,12,2022-04-26,2023-09-19
51,Request: API access for user workflow [Smith],Open,High,11,2022-11-13,
52,Unable to load module - permission denied [Davies],Resolved,Critical,21,2024-03-01,2024-08-16
53,Unable to access dashboard - permission denied [Davies],Open,Medium,4,2023-07-31,
54,Pipeline bottleneck detected [Rhodes],In Progress,Medium,15,2022-06-22,
55,Production Service issue in user workflow [Rhodes],Open,High,19,2022-11-05,
56,Login attempt causing problem [Pilot],In Progress,Medium,8,2024-04-22,
57,Critical UI failure in production [Smith],Resolved,Critical,5,2023-08-28,2023-11-28
58,Data export causing problem [Davies],In Progress,Medium,20,2023-03-26,
59,UI bottleneck detected [DataPipeline],Open,Medium,19,2022-04-16,
60,Report generation causing issue [Internal],Open,High,7,2023-11-20,
61,Unable to complete sync - timeout error [MonitorHub],In Progress,Medium,3,2022-09-25,
62,Unable to complete sync - timeout error [DataPipeline],Open,High,21,2023-08-24,
63,Request: API access for staging [Rhodes],Pending,Low,5,2023-03-08,
64,Customer-facing Module problem in user workflow [Carpenter],Resolved,Medium,2,2024-05-24,2023-12-29
65,Batch job causing bug [POC],Open,High,2,2022-09-27,
66,Integration high latency [Internal],In Progress,Low,16,2024-04-06,
67,Batch job causing issue [Rhodes],Resolved,Medium,6,2024-08-31,2025-05-24
68,Urgent Integration timeout in client environment [Internal],Closed,Medium,22,2023-07-05,2025-06-22
69,Backend running slow [Pilot],In Progress,Medium,22,2022-09-05,
70,Data export causing error [DataPipeline],In Progress,Medium,22,2024-12-04,
71,Unable to export data - permission denied [Smith],Open,Medium,20,2023-08-26,
72,Authentication memory leak [MonitorHub],Resolved,Low,12,2023-05-01,2023-04-26
73,Module memory leak [Carpenter],Resolved,Low,19,2024-03-13,2023-06-24
74,Production Database timeout in user workflow [Internal],In Progress,Medium,10,2023-01-26,
75,Unable to access dashboard - permission denied [Rhodes],In Progress,High,22,2023-10-16,
76,Report generation causing bug [Carpenter],Open,Critical,5,2023-03-20,
77,High priority Dashboard malfunction in data pipeline [Carpenter],Resolved,Low,16,2024-08-29,2023-02-18
78,API bottleneck detected [Smith],In Progress,High,6,2022-12-05,
79,Urgent Backend crash in user workflow [SecureGate],In Progress,Low,6,2024-11-11,
80,Pipeline bottleneck detected [Rhodes],Open,High,23,2024-11-25,
81,Database high latency [Internal],In Progress,Low,21,2023-09-18,
82,Customer-facing API malfunction in user workflow [Pilot],Closed,Medium,15,2023-04-01,2024-06-30
83,High priority API timeout in production [POC],Resolved,High,20,2024-11-16,2023-10-18
84,Request: Enhanced logging for staging [Internal],In Progress,Low,11,2023-08-20,
85,Request: Bulk import for production [Davies],Pending,Low,1,2024-07-17,
86,Request: Enhanced logging for staging [POC],In Progress,Medium,19,2022-06-30,
87,Customer-facing UI malfunction in staging [Smith],In Progress,Low,18,2024-02-16,
88,Critical Backend problem in production [Carpenter],In Progress,Medium,24,2023-07-16,
89,Request: API access for client environment [Rhodes],In Progress,Low,14,2024-02-05,
90,Request: API access for production [DataPipeline],In Progress,Medium,5,2024-04-06,
91,Urgent API timeout in client environment [SecureGate],Open,Medium,3,2022-10-06,
92,Critical Backend issue in development [DataPipeline],In Progress,Medium,2,2024-11-16,
93,Unable to generate report - resource exhausted [MonitorHub],In Progress,Low,12,2024-09-25,
94,Backend high latency [Smith],In Progress,Low,8,2024-09-09,
95,Integration high latency [Internal],Pending,High,8,2022-03-13,
96,Unable to complete sync - timeout error [SecureGate],In Progress,Critical,4,2023-09-11,
97,Customer-facing Backend bug in staging [MonitorHub],In Progress,Critical,6,2022-06-12,
98,High priority Database problem in staging [MonitorHub],Resolved,Medium,9,2023-01-11,2025-11-22
99,Request: Audit trail for user workflow [Internal],Closed,High,14,2023-03-26,2025-10-07
100,Batch job causing issue [Smith],In Progress,High,6,2024-08-04,
101,Module performance degradation [POC],In Progress,High,23,2022-05-19,
102,Customer-facing Backend issue in staging [Davies],In Progress,Medium,24,2022-11-07,
103,Request: Custom dashboard for development [Internal],Closed,Low,12,2024-02-23,2023-09-13
104,Request: Audit trail for client environment [Smith],Resolved,High,6,2022-06-09,2024-05-19
105,Critical UI issue in user workflow [Internal],Resolved,Medium,8,2024-11-26,2023-10-28
106,Backend performance degradation [SecureGate],In Progress,Medium,15,2022-09-27,
107,Request: Custom dashboard for production [Internal],In Progress,Medium,16,2022-02-27,
108,High priority Backend error in production [MonitorHub],In Progress,Medium,5,2023-09-28,
109,High priority Database malfunction in user workflow [POC],In Progress,High,5,2022-12-02,
110,Sync process causing error [Internal],In Progress,Medium,12,2024-08-21,
111,Request: Enhanced logging for staging [SecureGate],In Progress,High,25,2023-12-25,
112,Request: Enhanced logging for staging [Internal],Resolved,High,4,2024-10-18,2024-03-21
113,API running slow [Rhodes],In Progress,Critical,9,2022-06-18,
114,Dashboard memory leak [SecureGate],Pending,Medium,18,2024-08-05,
115,Request: API access for staging [Davies],Pending,High,11,2023-08-19,
116,Unable to export data - timeout error [Rhodes],Resolved,High,10,2023-08-29,2024-08-02
117,High priority Authentication timeout in production [Davies],Closed,Medium,18,2022-10-16,2024-12-07
118,Request: Bulk import for staging [Davies],In Progress,Low,4,2023-08-27,
119,Production Database failure in staging [Rhodes],Closed,Critical,16,2024-07-09,2024-07-31
120,Request: API access for production [MonitorHub],In Progress,Medium,3,2022-10-14,
121,Production Dashboard issue in user workflow [Internal],Resolved,Medium,16,2024-09-20,2023-01-06
122,Report generation causing issue [Rhodes],In Progress,Low,21,2023-10-02,
123,Request: Custom dashboard for production [POC],In Progress,Medium,23,2024-08-19,
124,Production Pipeline crash in production [Smith],Resolved,High,16,2023-03-25,2025-03-19
125,Dashboard memory leak [Rhodes],In Progress,Medium,8,2023-06-03,
126,High priority Backend malfunction in data pipeline [DataPipeline],Resolved,High,23,2023-11-12,2023-02-02
127,Request: Custom dashboard for user workflow [Internal],In Progress,Medium,3,2023-01-24,
128,Service high latency [DataPipeline],In Progress,High,8,2023-10-04,
129,Unable to generate report - resource exhausted [Internal],In Progress,Medium,19,2022-11-11,
130,Request: Enhanced logging for staging [Internal],Open,Medium,6,2022-01-31,
131,Request: API access for data pipeline [Pilot],Open,Medium,3,2024-10-22,
132,Production Module error in development [Internal],In Progress,High,19,2023-04-07,
133,Data export causing bug [POC],Resolved,High,6,2023-12-12,2023-06-03
134,Authentication high latency [Internal],In Progress,Critical,24,2022-10-27,
135,Dashboard performance degradation [Internal],Resolved,Medium,13,2022-02-15,2024-06-27
136,Request: API access for development [POC],Resolved,High,1,2022-12-08,2025-03-22
137,Request: Audit trail for development [Davies],Open,Medium,17,2024-09-19,
138,Production API crash in client environment [Smith],Closed,Medium,1,2023-08-20,2025-09-01
139,Unable to complete sync - null pointer [POC],Open,Medium,12,2024-01-04,
140,High priority Dashboard timeout in client environment [Davies],Resolved,Medium,11,2022-08-21,2024-11-03
141,Pipeline running slow [SecureGate],Open,Medium,12,2023-10-08,
142,Module running slow [POC],Resolved,Medium,5,2023-05-05,2024-02-19
143,Urgent Authentication timeout in data pipeline [SecureGate],Resolved,Low,13,2023-03-01,2023-02-26
144,Sync process causing problem [DataPipeline],In Progress,Medium,5,2022-02-04,
145,Request: API access for user workflow [SecureGate],Resolved,Medium,12,2024-03-23,2024-12-02
146,Customer-facing API bug in staging [Rhodes],Resolved,Medium,15,2023-06-04,2025-02-09
147,Request: Audit trail for client environment [Carpenter],Open,Medium,19,2022-07-09,
148,Data export causing crash [Smith],Open,Medium,24,2022-05-24,
149,Dashboard running slow [Rhodes],Open,High,20,2024-02-11,
150,High priority Backend error in user workflow [Davies],Closed,Low,12,2022-01-06,2025-11-02
151,Unable to export data - connection refused [POC],Resolved,Medium,25,2024-06-26,2025-01-25
152,Unable to access dashboard - permission denied [Internal],Open,High,1,2024-04-02,
153,Unable to complete sync - resource exhausted [POC],Open,High,22,2024-04-06,
154,Report generation causing problem [MonitorHub],In Progress,Medium,11,2022-12-28,
155,Request: API access for client environment [MonitorHub],Resolved,Critical,15,2024-12-03,2023-10-23
156,Batch job causing bug [MonitorHub],In Progress,Low,18,2023-09-29,
157,Authentication performance degradation [Internal],Resolved,Medium,14,2023-03-27,2023-05-09
158,Login attempt causing crash [Carpenter],In Progress,Medium,16,2022-01-18,
159,Batch job causing error [Internal],Open,Low,10,2024-04-07,
160,Request: API access for production [Davies],Closed,Medium,3,2024-08-04,2025-08-26
161,Database high latency [Internal],In Progress,Low,24,2022-08-22,
162,Integration memory leak [DataPipeline],Open,Low,20,2022-10-10,
163,Unable to load module - connection refused [SecureGate],In Progress,Medium,2,2023-06-04,
164,Report generation causing issue [DataPipeline],Closed,Critical,6,2023-10-02,2025-01-02
165,Login attempt causing issue [Pilot],Resolved,Medium,2,2024-12-29,2024-08-30
166,Unable to complete sync - null pointer [Internal],Resolved,Medium,13,2022-04-06,2023-01-28
167,Batch job causing issue [DataPipeline],Resolved,Medium,6,2024-04-07,2023-12-19
168,Authentication bottleneck detected [DataPipeline],In Progress,Medium,23,2024-07-12,
169,Request: Enhanced logging for production [Internal],In Progress,Medium,12,2023-05-19,
170,Login attempt causing timeout [POC],Open,Medium,21,2024-10-28,
171,Unable to generate report - timeout error [Rhodes],Resolved,Medium,15,2023-03-20,2024-10-20
172,Dashboard performance degradation [Carpenter],In Progress,Critical,1,2022-01-24,
173,Urgent Integration issue in client environment [Internal],In Progress,High,25,2023-05-28,
174,Unable to complete sync - null pointer [Internal],Resolved,Critical,6,2022-11-18,2024-04-30
175,Unable to access dashboard - connection refused [Internal],Resolved,Critical,8,2023-01-22,2024-04-05
176,High priority Service malfunction in development [DataPipeline],Closed,Medium,11,2022-12-25,2023-05-08
177,Request: Audit trail for development [Davies],In Progress,High,24,2022-11-03,
178,UI bottleneck detected [Carpenter],Resolved,Critical,17,2024-08-02,2023-08-27
179,Request: Enhanced logging for user workflow [Internal],Open,Low,8,2024-07-19,
180,Module performance degradation [Carpenter],In Progress,High,7,2024-06-22,
